,Unnamed: 0,X,Y,RA,DEC,I,DI,Q,DQ,U,DU,P,DP,ANG,DANG,PI,DPI,AST,PCA,ID
75,1116,8.5,-2.5,344.01537916666666,62.02137777777778,48.3602,3.37369,9.31203,1.67963,-0.140375,0.845301,19.2578,3.72367,89.568176,2.60109,9.31308,1.67949,1,1,2265
76,1148,-5.5,-1.5,344.11485416666665,62.02471666666666,45.3204,2.4567,-2.71183,1.95837,-5.447,2.63179,13.426,5.59129,31.766599999999997,9.93099,6.08472,2.51244,0,0,2337
77,1149,-4.5,-1.5,344.10775,62.02471944444444,194.944,3.23841,-6.61979,2.50899,-2.59256,0.998868,3.64687,1.2144,10.693600000000004,5.25735,7.10936,2.36444,1,1,2338
78,1150,-3.5,-1.5,344.10064166666666,62.02471944444444,486.626,4.67386,3.31544,3.04626,-9.67525,1.8352,2.10172,0.410934,54.4576,8.24217,10.2275,1.9973,1,1,2339
79,1151,-2.5,-1.5,344.0935375,62.02472222222222,997.848,5.50413,8.05537,2.07521,-18.0788,1.9115,1.98349,0.194683,57.0081,2.96578,19.7923,1.93957,1,1,2340
80,1152,-1.5,-1.5,344.0864291666667,62.02472222222222,1726.07,9.94629,1.76901,1.30817,-13.3721,1.57651,0.781462,0.0912012,48.768,2.78916,13.4886,1.57228,1,1,2341
81,1153,-0.5,-1.5,344.079325,62.02472222222222,3075.5,7.71634,-28.7576,2.74576,5.32157,3.47138,0.950929,0.0901902,174.75799999999998,3.37927,29.2458,2.77283,1,1,2342
82,1154,0.5,-1.5,344.07222083333335,62.02472222222222,4552.38,17.4128,-68.7918,2.47956,-35.5223,2.73702,1.70069,0.0560841,13.655299999999997,0.993465,77.4219,2.53593,1,1,2343
83,1155,1.5,-1.5,344.0651125,62.02472222222222,3040.24,5.81631,-26.8269,1.80383,-54.0427,0.938616,1.98454,0.0384067,31.8001,0.792342,60.3349,1.16194,1,1,2344
84,1156,2.5,-1.5,344.0580083333333,62.02472222222222,1538.04,5.79965,-10.1144,1.00255,-40.9705,1.76889,2.74379,0.113219,38.0663,0.720707,42.2005,1.73406,1,1,2345
85,1157,3.5,-1.5,344.0509,62.02471944444444,867.415,1.66262,2.43132,3.20567,-20.9518,2.29338,2.43163,0.266104,48.3096,4.33983,21.0924,2.30787,1,1,2346
86,1158,4.5,-1.5,344.0437958333333,62.02471944444444,327.458,3.49336,5.96803,2.44578,-9.38174,2.58418,3.39559,0.778068,61.2309,6.40621,11.1191,2.54508,1,1,2347
87,1159,5.5,-1.5,344.0366875,62.02471666666666,148.27,3.43104,7.79188,0.65205,-4.75545,0.894498,6.15662,0.509888,74.30199999999999,2.62265,9.1284,0.725899,1,1,2348
88,1160,6.5,-1.5,344.02958333333333,62.02471666666666,260.974,3.44529,10.111,0.665761,-4.61054,2.64543,4.25811,0.483648,77.7437,6.24591,11.1125,1.25364,1,1,2349
89,1161,7.5,-1.5,344.02247916666664,62.02471388888889,303.213,2.12322,3.35902,1.07634,7.09541,1.53861,2.58905,0.483474,122.3334,4.28662,7.85034,1.46492,1,1,2350
90,1162,8.5,-1.5,344.01537083333335,62.02471111111111,145.869,2.30817,8.81776,1.41006,2.04637,0.626971,6.20566,0.951721,96.53276,2.18029,9.0521,1.38085,1,1,2351
91,1163,9.5,-1.5,344.00826666666666,62.024705555555556,98.7793,3.13835,9.91,2.01948,-2.30737,3.04063,10.3008,2.13522,83.4466,8.43699,10.1751,2.08423,1,1,2352
92,1164,10.5,-1.5,344.0011583333333,62.024702777777776,79.9864,2.98058,9.34182,1.35237,-5.33021,1.49136,13.4467,1.80595,75.146,3.88467,10.7555,1.3878,1,1,2353
93,1204,-6.5,-0.5,344.12196666666665,62.02804722222222,73.1662,3.28235,1.73669,1.46019,-8.40651,3.2139,11.7322,4.35261,50.8362,5.24259,8.58402,3.16127,1,1,2422
94,1205,-5.5,-0.5,344.11485833333336,62.02805,161.947,2.34737,-0.476539,1.91892,-7.89122,1.65541,4.88161,1.02528,43.2721,6.95046,7.9056,1.65644,1,1,2423
95,1206,-4.5,-0.5,344.10775,62.02805277777777,366.869,5.89137,-1.89089,0.973584,-16.3793,1.53728,4.49428,0.423568,41.7074,1.70812,16.4881,1.53122,1,1,2424
96,1207,-3.5,-0.5,344.1006458333333,62.02805277777777,1159.8,3.27763,1.61991,1.77492,-34.7424,1.97244,2.9988,0.170243,46.3348,1.46234,34.7802,1.97203,1,1,2425
97,1208,-2.5,-0.5,344.0935375,62.028055555555554,2675.41,5.04053,-5.15198,2.18381,-46.8039,2.53111,1.75998,0.0945198,41.8592,1.33137,47.0866,2.52724,1,1,2426
98,1209,-1.5,-0.5,344.08643333333333,62.028055555555554,3925.6,6.22781,14.3977,0.500558,-24.0325,1.00944,0.713655,0.0230392,60.4628,0.688637,28.0153,0.903336,1,1,2427
99,1211,0.5,-0.5,344.0722166666667,62.028055555555554,8607.0,17.0838,-29.1342,2.54157,-29.8422,1.24493,0.484555,0.0230989,22.843900000000005,1.3847,41.7057,1.9864,1,1,2429
100,1212,1.5,-0.5,344.0651125,62.028055555555554,3352.78,13.8491,9.29272,2.13767,-24.0215,1.61366,0.768208,0.0505381,55.5745,2.31013,25.7563,1.69109,1,1,2430
101,1213,2.5,-0.5,344.05800416666665,62.028055555555554,1114.14,5.71914,7.04948,2.27136,-25.4789,2.31857,2.37278,0.208162,52.7328,2.46507,26.4361,2.31525,1,1,2431
102,1214,3.5,-0.5,344.0509,62.028055555555554,448.13,4.51175,6.58439,1.82623,-8.71898,2.79206,2.4381,0.555089,63.5297,5.83661,10.9259,2.48509,1,1,2432
103,1215,4.5,-0.5,344.04379166666666,62.02805277777777,113.052,4.81795,0.264797,2.00607,-3.85782,1.05137,3.42047,0.947016,46.9633,14.8367,3.8669,1.05786,1,1,2433
104,1216,5.5,-0.5,344.0366833333333,62.02805,62.7857,2.26242,3.6378,0.718641,-4.92955,2.29876,9.75782,3.04372,63.212900000000005,6.93173,6.12651,1.89823,1,1,2434
105,1217,6.5,-0.5,344.0295791666667,62.02805,258.039,2.55659,8.05681,1.1611,-4.73577,2.85657,3.62176,0.682981,74.7766,7.76147,9.34557,1.75993,1,1,2435
106,1218,7.5,-0.5,344.02247083333333,62.02804722222222,320.806,3.4135,5.42807,1.76886,2.67586,1.10385,1.88643,0.517815,103.1209,5.9728,6.05179,1.65993,1,1,2436
107,1219,8.5,-0.5,344.0153666666667,62.02804444444445,237.543,2.85698,8.33336,1.74352,5.83814,2.17581,4.2834,0.800146,107.50710000000001,5.75387,10.1749,1.89675,1,1,2437
108,1220,9.5,-0.5,344.00825833333334,62.02804166666667,211.8,3.80509,10.7433,1.19509,0.0508184,2.64632,5.07242,0.571587,90.135511,7.05649,10.7434,1.19514,1,1,2438
109,1221,10.5,-0.5,344.00115416666665,62.02803611111111,151.838,3.84006,10.2049,2.11978,9.87738,1.12166,9.35354,1.15162,112.03280000000001,3.38918,14.2022,1.7113,1,1,2439
110,1222,11.5,-0.5,343.99404583333336,62.02803333333333,39.6083,2.54854,5.40856,2.10375,1.81281,1.83383,14.4017,5.32779,99.2649,9.35565,5.70427,2.07808,1,1,2440
111,1261,-11.5,0.5,344.15750833333334,62.03136388888889,48.2855,3.22339,4.36802,1.77015,-0.412924,1.18167,9.08658,3.70697,87.29984,7.75803,4.3875,1.7658,1,1,2504
112,1262,-10.5,0.5,344.1504,62.031369444444444,121.27,2.82615,2.89899,1.23078,-2.32548,1.65653,3.0646,1.16722,70.6322,11.5954,3.71645,1.41284,1,1,2505
113,1263,-9.5,0.5,344.14329166666664,62.031372222222224,137.11,2.11818,3.18535,0.641578,-1.38144,1.18651,2.53228,0.551705,78.2772,9.22542,3.47201,0.754537,1,1,2506
